order	Country_Other	Total_Cases	Total_Deaths	Total_Recovered	Active_Cases	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population
61	Lebanon	1,216,638	10,684	1,087,587	118,367	180,079	1,581	4,795,578	709,809	6,756,148
62	Slovenia	1,203,345	6,842	1,165,014	31,489	578,646	3,29	2,751,298	1,323,003	2,079,586
63	Tunisia	1,145,829	29,254	N/A	N/A	94,702	2,418	4,952,266	409,304	12,099,249
64	Guatemala	1,129,542	19,836	1,109,548	158	60,508	1,063	5,962,823	319,418	18,667,778
65	Cuba	1,111,238	8,53	1,102,630	78	98,245	754	14,164,629	1,252,295	11,310,937
66	Bolivia	1,108,702	22,237	1,057,096	29,369	92,128	1,848	2,705,422	224,808	12,034,389
67	Costa_Rica	1,072,807	8,913	860,711	203,183	206,322	1,714	4,659,757	896,164	5,199,671
68	UAE	1,031,179	2,346	1,010,245	18,588	101,478	231	192,250,879	18,919,374	10,161,588
69	Ecuador	1,006,070	35,9	967,728	2,442	55,124	1,967	3,082,403	168,889	18,251,092
70	Nepal	999,911	12,018	987,324	569	32,972	396	5,943,648	195,99	30,326,268
71	Belarus	994,037	7,118	985,592	1,327	105,275	754	13,646,641	1,445,271	9,442,274
72	Panama	988,28	8,505	978,903	872	221,145	1,903	7,104,713	1,589,804	4,468,924
73	Uruguay	986,446	7,495	977,955	996	281,758	2,141	6,114,822	1,746,574	3,501,039
74	Mongolia	983,61	2,179	980,547	884	289,458	641	4,030,048	1,185,967	3,398,110
75	Latvia	939,146	6,013	918,67	14,463	510,698	3,27	7,690,522	4,182,029	1,838,945
76	Azerbaijan	822,186	9,927	811,727	532	79,465	959	7,273,091	702,948	10,346,550
77	Saudi_Arabia	817,838	9,369	804,679	3,79	22,69	260	44,394,966	1,231,675	36,044,394
78	Paraguay	717,039	19,595	697,361	83	97,804	2,673	2,657,506	362,484	7,331,367
79	Bahrain	683,773	1,521	679,798	2,454	372,451	828	10,420,618	5,676,104	1,835,875
80	Sri_Lanka	670,873	16,768	654,006	99	31,035	776	6,486,117	300,048	21,616,928
81	Kuwait	660,667	2,564	657,113	990	149,678	581	8,393,046	1,901,499	4,413,910
82	Dominican_Republic	645,952	4,384	641,157	411	58,221	395	3,657,057	329,62	11,094,762
83	Myanmar	625,497	19,464	597,898	8,135	11,324	352	9,056,450	163,955	55,237,382
84	Palestine	620,757	5,404	614,914	439	115,584	1,006	3,078,533	573,219	5,370,607
85	Estonia	603,185	2,692	524,99	75,503	454,015	2,026	3,545,129	2,668,404	1,328,558
86	Cyprus	590,783	1,187	581,194	8,402	481,368	967	9,640,118	7,854,730	1,227,301
87	Moldova	590,752	11,858	504,142	74,752	147,22	2,955	3,216,305	801,531	4,012,704
88	Venezuela	544,966	5,818	538,672	476	19,289	206	3,359,014	118,889	28,253,251
89	Egypt	515,645	24,613	442,182	48,85	4,832	231	3,693,367	34,61	106,715,332
90	Libya	507,01	6,437	500,528	45	71,578	909	2,482,490	350,469	7,083,346
91	Ethiopia	493,698	7,572	472,005	14,121	4,066	62	5,277,726	43,464	121,427,905
92	R‚union	472,692	894	418,572	53,226	519,551	983	1,603,660	1,762,634	909,809
93	Qatar	458,391	682	454,47	3,239	163,256	243	3,983,182	1,418,611	2,807,805
94	Honduras	456,664	10,996	N/A	N/A	44,5	1,072	1,533,488	149,432	10,262,139
95	Armenia	444,482	8,7	432,811	2,971	149,365	2,924	3,220,025	1,082,068	2,975,806
96	Bosnia_and_Herzegovina	399,184	16,154	376,654	6,376	123,412	4,994	1,865,703	576,803	3,234,559
97	Oman	398,424	4,26	384,669	9,495	73,762	789	25,000,000	4,628,385	5,401,452
98	North_Macedonia	343,391	9,548	333,504	339	164,84	4,583	2,134,706	1,024,734	2,083,180
99	Kenya	338,506	5,678	332,81	18	5,996	101	3,895,785	69,001	56,459,855
100	Zambia	333,624	4,017	329,541	66	17,063	205	3,739,317	191,242	19,552,792
101	Albania	332,503	3,589	327,228	1,686	115,828	1,25	1,941,032	676,16	2,870,671
102	Botswana	326,344	2,79	322,955	599	132,692	1,134	2,026,898	824,142	2,459,403
103	Luxembourg	294,753	1,13	287,707	5,916	454,1	1,741	4,402,293	6,782,233	649,092
104	Montenegro	281,268	2,782	277,581	905	447,704	4,428	2,633,437	4,191,729	628,246
105	Algeria	270,713	6,881	182,343	81,489	5,93	151	230,861	5,057	45,648,298
106	Nigeria	265,816	3,155	259,043	3,618	1,221	14	5,441,162	24,99	217,737,683
107	Zimbabwe	257,749	5,604	251,737	408	16,787	365	2,523,742	164,371	15,353,968
108	China	254,066	5,226	244,736	4,104	177	4	160,000,000	111,163	1,439,323,776
109	Uzbekistan	244,334	1,637	241,486	1,211	7,068	47	1,377,915	39,859	34,570,064
110	Mozambique	230,312	2,222	227,964	126	6,928	67	1,371,127	41,245	33,243,394
111	Brunei	229,665	225	222,14	7,3	513,81	503	717,784	1,605,838	446,984
112	Martinique	221,618	1,044	N/A	N/A	591,604	2,787	828,928	2,212,805	374,605
113	Laos	216,008	758	N/A	N/A	28,743	101	1,233,207	164,096	7,515,167
114	Kyrgyzstan	206,25	2,991	196,406	6,853	30,472	442	1,907,195	281,775	6,768,498
115	Iceland	205,823	213	N/A	N/A	594,404	615	1,996,384	5,765,430	346,268
116	El_Salvador	201,785	4,23	179,41	18,145	30,758	645	2,610,114	397,856	6,560,454
117	Afghanistan	200,626	7,807	179,01	13,809	4,903	191	1,115,375	27,259	40,918,418
118	Guadeloupe	192,801	989	N/A	N/A	481,667	2,471	938,039	2,343,463	400,279
119	Maldives	185,125	308	163,687	21,13	329,315	548	2,213,831	3,938,136	562,152
120	Trinidad_and_Tobago	183,824	4,224	176,317	3,283	130,393	2,996	842,716	597,769	1,409,768
121	Ghana	169,685	1,459	167,712	514	5,214	45	2,507,677	77,052	32,545,204
122	Uganda	169,396	3,628	100,431	65,337	3,456	74	3,012,408	61,452	49,020,742
123	Namibia	169,253	4,065	164,813	375	63,981	1,537	1,062,663	401,71	2,645,348
124	Jamaica	151,931	3,32	99,392	49,219	50,805	1,11	1,183,986	395,917	2,990,488
125	Cambodia	137,937	3,056	134,811	70	7,999	177	3,071,982	178,147	17,244,086
126	Rwanda	132,518	1,467	131,027	24	9,686	107	5,835,778	426,559	13,681,060
127	Cameroon	121,652	1,935	118,616	1,101	4,338	69	1,751,774	62,461	28,045,883
128	Malta	114,887	806	113,391	690	258,632	1,814	2,066,528	4,652,142	444,21
129	Angola	103,131	1,917	101,155	59	2,931	54	1,499,795	42,623	35,187,440
130	Barbados	102,58	560	101,812	208	355,967	1,943	765,701	2,657,088	288,173
131	French_Guiana	94,073	410	11,254	82,409	297,457	1,296	651,257	2,059,265	316,257
132	DRC	92,934	1,443	83,521	7,97	971	15	846,704	8,843	95,743,213
133	Channel_Islands	92,191	204	91,19	797	519,389	1,149	1,252,808	7,058,113	177,499
134	Senegal	88,506	1,968	86,417	121	4,987	111	1,146,543	64,61	17,745,595
135	Malawi	88,047	2,682	84,966	399	4,348	132	618,123	30,521	20,252,116
136	Ivory_Coast	87,438	826	86,566	46	3,138	30	1,633,945	58,646	27,861,070
137	Suriname	81,114	1,385	N/A	N/A	135,515	2,314	239,203	399,631	598,559
138	French_Polynesia	76,703	649	N/A	N/A	269,519	2,28	NA	NA	284,592
139	New_Caledonia	74,179	314	73,847	18	254,276	1,076	98,964	339,236	291,726
140	Eswatini	73,436	1,422	71,973	41	61,845	1,198	1,045,903	880,818	1,187,423
141	Guyana	71,383	1,281	70,039	63	89,772	1,611	697,587	877,288	795,163
142	Belize	68,884	686	68,141	57	166,382	1,657	576,016	1,391,303	414,012
143	Fiji	68,244	878	66,305	1,061	74,896	964	663,021	727,648	911,184
144	Madagascar	66,687	1,41	65,267	10	2,275	48	512,993	17,504	29,307,045
145	Sudan	63,344	4,962	57,437	945	1,372	107	562,941	12,192	46,173,280
146	Mauritania	62,92	995	61,819	106	12,77	202	978,696	198,635	4,927,105
147	Cabo_Verde	62,389	410	61,916	63	109,514	720	401,622	704,982	569,691
148	Bhutan	62,095	21	61,564	510	78,513	27	2,303,734	2,912,841	790,889
149	Syria	57,325	3,163	54,141	21	3,104	171	146,269	7,921	18,465,716
150	Burundi	50,225	38	49,863	324	3,956	3	345,742	27,235	12,694,797
151	Gabon	48,713	306	48,307	100	20,774	130	1,616,857	689,506	2,344,950
152	Seychelles	47,141	169	46,446	526	472,696	1,695	NA	NA	99,728
153	Andorra	46,275	155	46,053	67	596,75	1,999	249,838	3,221,845	77,545
154	Papua_New_Guinea	45,133	668	43,982	483	4,837	72	249,149	26,699	9,331,707
155	Cura‡ao	45,127	282	44,72	125	272,481	1,703	496,693	2,999,082	165,615
156	Aruba	42,914	227	42,438	249	398,111	2,106	177,885	1,650,231	107,794
157	Mauritius	40,519	1,027	38,857	635	31,741	805	358,675	280,971	1,276,555
158	Mayotte	40,277	187	N/A	N/A	139,969	650	176,919	614,821	287,757
159	Tanzania	39,513	845	N/A	N/A	621	13	NA	NA	63,596,883
160	Togo	39,199	286	38,762	151	4,496	33	794,558	91,128	8,719,167
161	Isle_of_Man	38,008	116	N/A	N/A	441,676	1,348	150,753	1,751,842	86,054
162	Guinea	37,95	455	37,034	461	2,722	33	660,107	47,348	13,941,477
163	Bahamas	37,318	833	36,173	312	92,884	2,073	248,846	619,373	401,771
164	Faeroe_Islands	34,658	28	N/A	N/A	703,23	568	778	15,786,056	49,284
165	Lesotho	34,49	706	25,98	7,804	15,815	324	431,221	197,737	2,180,782
166	Haiti	33,756	857	31,41	1,489	2,881	73	132,422	11,301	11,717,979
167	Mali	32,697	742	31,812	143	1,516	34	763,159	35,372	21,575,039
